"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.43.243","8.8.8.8","DNS","83","Standard query 0xa4ca AAAA ocsp.trust-provider.com"
"2","0.003684","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=1 Ack=1 Win=2825 Len=0"
"3","0.007697","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=1 Ack=2741 Win=2825 Len=0"
"4","0.008823","204.79.197.200","192.168.43.243","SSL","1424","Continuation Data"
"5","0.008825","204.79.197.200","192.168.43.243","SSL","514","Continuation Data"
"6","0.010493","192.168.43.243","204.79.197.200","TCP","54","55367  >  443 [ACK] Seq=1 Ack=1371 Win=1024 Len=0"
"7","0.010891","204.79.197.200","192.168.43.243","SSL","1424","Continuation Data"
"8","0.012743","192.168.43.243","204.79.197.200","TCP","54","55367  >  443 [ACK] Seq=1 Ack=1831 Win=1022 Len=0"
"9","0.013036","204.79.197.200","192.168.43.243","SSL","275","Continuation Data"
"10","0.013425","192.168.43.243","204.79.197.200","TCP","54","55367  >  443 [ACK] Seq=1 Ack=3201 Win=1024 Len=0"
"11","0.015285","204.79.197.200","192.168.43.243","SSL","1424","Continuation Data"
"12","0.015669","192.168.43.243","204.79.197.200","TCP","54","55367  >  443 [ACK] Seq=1 Ack=3422 Win=1023 Len=0"
"13","0.016356","192.168.43.243","204.79.197.200","TCP","54","55367  >  443 [ACK] Seq=1 Ack=4792 Win=1024 Len=0"
"14","0.017364","204.79.197.200","192.168.43.243","SSL","269","Continuation Data"
"15","0.018595","192.168.43.243","204.79.197.200","TCP","54","55367  >  443 [ACK] Seq=1 Ack=5007 Win=1023 Len=0"
"16","0.021446","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=1 Ack=5481 Win=2825 Len=0"
"17","0.026093","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=1 Ack=8193 Win=2825 Len=0"
"18","0.031072","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=1 Ack=10933 Win=2825 Len=0"
"19","0.035157","204.79.197.200","192.168.43.243","SSL","1424","Continuation Data"
"20","0.035512","204.79.197.200","192.168.43.243","SSL","687","Continuation Data"
"21","0.036032","192.168.43.243","204.79.197.200","TCP","54","55367  >  443 [ACK] Seq=1 Ack=6377 Win=1024 Len=0"
"22","0.036186","192.168.43.243","205.185.216.42","TCP","54","55357  >  80 [ACK] Seq=1 Ack=1 Win=626 Len=0"
"23","0.037797","192.168.43.243","204.79.197.200","TCP","54","55367  >  443 [ACK] Seq=1 Ack=7010 Win=1021 Len=0"
"24","0.039013","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=1 Ack=13659 Win=2825 Len=0"
"25","0.044023","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=1 Ack=16399 Win=2825 Len=0"
"26","0.048955","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=1 Ack=19139 Win=2825 Len=0"
"27","0.053362","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=1 Ack=21851 Win=2825 Len=0"
"28","0.057273","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=1 Ack=24577 Win=2825 Len=0"
"29","0.062310","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=1 Ack=27317 Win=2825 Len=0"
"30","0.068291","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=1 Ack=30057 Win=2825 Len=0"
"31","0.072235","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=1 Ack=32797 Win=2825 Len=0"
"32","0.076840","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=1 Ack=35537 Win=2825 Len=0"
"33","0.081861","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=1 Ack=38277 Win=2825 Len=0"
"34","0.086835","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=1 Ack=40961 Win=2825 Len=0"
"35","0.087979","8.8.8.8","192.168.43.243","DNS","99","Standard query response 0x6f2a A ocsp.trust-provider.com A 178.255.83.1"
"36","0.090954","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=1 Ack=43701 Win=2825 Len=0"
"37","0.095787","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=1 Ack=46441 Win=2825 Len=0"
"38","0.100266","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=1 Ack=49181 Win=2825 Len=0"
"39","0.106022","8.8.8.8","192.168.43.243","DNS","111","Standard query response 0xa4ca AAAA ocsp.trust-provider.com AAAA 2a02:1788:2fd::b2ff:5301"
"40","0.106941","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=1 Ack=51921 Win=2825 Len=0"
"41","0.107254","2405:204:919e:7f6f:c9a4:1a10:85cb:e7af","2a02:1788:2fd::b2ff:5301","TCP","86","55382  >  80 [SYN] Seq=0 Win=17654 Len=0 MSS=1358 WS=256 SACK_PERM=1"
"42","0.110281","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=1 Ack=54661 Win=2825 Len=0"
"43","0.115054","192.168.43.243","205.185.216.42","TCP","54","55357  >  80 [ACK] Seq=1 Ack=2741 Win=626 Len=0"
"44","0.120740","192.168.43.243","205.185.216.42","TCP","54","55357  >  80 [ACK] Seq=1 Ack=5481 Win=626 Len=0"
