Class,Specimen,Eccentricity,Elongation,Solidity,Stochastic_convexity,Lobedness,Avd_intensity,Avg_contrast,smoothness,Third_moment,Uniformity,Entropy
1,1,0.72694,0.32396,0.98535,1,0.0039465,0.04779,0.12795,0.016108,0.0052323,0.00027477,1.1756
1,2,0.74173,0.36116,0.98152,0.99825,0.0050016,0.02416,0.090476,0.0081195,0.002708,7.48E-05,0.69659
1,3,0.76722,0.38998,0.97755,1,0.010121,0.011897,0.057445,0.0032891,0.00092068,3.79E-05,0.44348
1,4,0.73797,0.35376,0.97566,1,0.0086068,0.01595,0.065491,0.0042707,0.0011544,6.63E-05,0.58785
1,5,0.82301,0.44462,0.97698,1,0.010042,0.0079379,0.045339,0.0020514,0.00055986,2.35E-05,0.34214
1,6,0.72997,0.34284,0.98755,1,0.0044506,0.010487,0.058528,0.0034138,0.0011248,2.48E-05,0.34068
1,7,0.82063,0.44458,0.97964,0.99649,0.0063954,0.018375,0.080587,0.0064523,0.0022713,4.15E-05,0.53904
1,8,0.77982,0.39222,0.98512,0.99825,0.0047314,0.024875,0.089686,0.0079794,0.0024664,0.00014676,0.66975
1,9,0.83089,0.45693,0.9824,1,0.006564,0.0072447,0.040616,0.0016469,0.00038812,3.29E-05,0.33696
1,10,0.90631,0.58336,0.97683,0.99825,0.012848,0.0070096,0.042347,0.0017901,0.00045889,2.83E-05,0.28082
1,11,0.7459,0.34116,0.98296,1,0.0056395,0.0057679,0.036511,0.0013313,0.00030872,3.18E-05,0.25026
1,12,0.79606,0.43387,0.98181,1,0.011071,0.013677,0.057832,0.0033334,0.00081648,0.00013855,0.49751
2,1,0.93361,0.64257,0.98346,1,0.0055731,0.029712,0.089889,0.0080153,0.0020648,0.00023883,0.91499
2,2,0.91186,0.60323,0.983,1,0.0068823,0.018887,0.072486,0.0052267,0.0014887,8.33E-05,0.67811
2,3,0.89063,0.56667,0.98732,1,0.0014643,0.029272,0.091328,0.0082717,0.0022383,0.00020166,0.87177
2,4,0.86755,0.51464,0.98691,1,0.0053937,0.030348,0.092063,0.0084044,0.0022541,0.00019854,0.94545
2,5,0.91852,0.61648,0.9787,1,0.0046404,0.02309,0.082029,0.0066839,0.0018929,0.00012452,0.71713
2,6,0.88795,0.56218,0.97835,0.99825,0.0063874,0.032722,0.092969,0.0085691,0.0021199,0.00027729,1.008
2,7,0.85121,0.4892,0.98622,1,0.0028733,0.020258,0.070841,0.0049933,0.0012274,0.00014929,0.74174
2,8,0.89084,0.57815,0.97389,1,0.042443,0.028461,0.086477,0.0074228,0.0018832,0.00024345,0.91307
2,9,0.93062,0.65828,0.98182,1,0.0076645,0.023606,0.072237,0.005191,0.0011217,0.00025558,0.90513
2,10,0.84113,0.46549,0.99039,1,0.0039793,0.062798,0.13234,0.017213,0.0044528,0.00065523,1.653
